Codigo Token: 54, Nombre Token: FESTIVAL, Valor: function, Linea: 1, Columna: 1
Codigo Token: 48, Nombre Token: PERSONA, Valor: arreglo2, Linea: 9, Columna: 15

Codigo Token: 4, Nombre Token: ABREEMPAQUE, Valor: [, Linea: 9, Columna: 24

Codigo Token: 16, Nombre Token: l_float_padrenavidad, Valor: 10, Linea: 9, Columna: 25

Codigo Token: 5, Nombre Token: CIERRAEMPAQUE, Valor: ], Linea: 9, Columna: 27

Codigo Token: 51, Nombre Token: ENTREGA, Valor: <=, Linea: 9, Columna: 29

Codigo Token: 16, Nombre Token: l_float_padrenavidad, Valor: 2, Linea: 9, Columna: 32

Codigo Token: 23, Nombre Token: FINREGALO, Valor: |, Linea: 9, Columna: 33

Codigo Token: 48, Nombre Token: PERSONA, Valor: arreglo2, Linea: 10, Columna: 5

Codigo Token: 4, Nombre Token: ABREEMPAQUE, Valor: [, Linea: 10, Columna: 14

Codigo Token: 16, Nombre Token: l_float_padrenavidad, Valor: 10, Linea: 10, Columna: 15

Codigo Token: 5, Nombre Token: CIERRAEMPAQUE, Valor: ], Linea: 10, Columna: 17

Codigo Token: 51, Nombre Token: ENTREGA, Valor: <=, Linea: 10, Columna: 19

Codigo Token: 16, Nombre Token: l_float_padrenavidad, Valor: 2, Linea: 10, Columna: 22

Codigo Token: 23, Nombre Token: FINREGALO, Valor: |, Linea: 10, Columna: 23

Codigo Token: 48, Nombre Token: PERSONA, Valor: arreglo2, Linea: 11, Columna: 5

Codigo Token: 4, Nombre Token: ABREEMPAQUE, Valor: [, Linea: 11, Columna: 14

Codigo Token: 16, Nombre Token: l_float_padrenavidad, Valor: 10, Linea: 11, Columna: 15

Codigo Token: 5, Nombre Token: CIERRAEMPAQUE, Valor: ], Linea: 11, Columna: 17

Codigo Token: 23, Nombre Token: FINREGALO, Valor: |, Linea: 11, Columna: 18

Codigo Token: 48, Nombre Token: PERSONA, Valor: var, Linea: 12, Columna: 5

Codigo Token: 51, Nombre Token: ENTREGA, Valor: <=, Linea: 12, Columna: 9

Codigo Token: 33, Nombre Token: not_gaspar, Valor: !, Linea: 12, Columna: 12

Codigo Token: 37, Nombre Token: l_tPAPANOEL, Valor: true, Linea: 12, Columna: 13

Codigo Token: 23, Nombre Token: FINREGALO, Valor: |, Linea: 12, Columna: 17

Codigo Token: 48, Nombre Token: PERSONA, Valor: var, Linea: 13, Columna: 5

Codigo Token: 51, Nombre Token: ENTREGA, Valor: <=, Linea: 13, Columna: 9

Codigo Token: 16, Nombre Token: l_float_padrenavidad, Valor: 1, Linea: 13, Columna: 12

Codigo Token: 22, Nombre Token: le_candycane, Valor: =<, Linea: 13, Columna: 14

Codigo Token: 16, Nombre Token: l_float_padrenavidad, Valor: 2, Linea: 13, Columna: 17

Codigo Token: 23, Nombre Token: FINREGALO, Valor: |, Linea: 13, Columna: 18

Codigo Token: 52, Nombre Token: RETORNAREGALO, Valor: return, Linea: 14, Columna: 5

Codigo Token: 16, Nombre Token: l_float_padrenavidad, Valor: 33, Linea: 14, Columna: 12

Codigo Token: 23, Nombre Token: FINREGALO, Valor: |, Linea: 14, Columna: 14

Codigo Token: 3, Nombre Token: CIERRAREGALO, Valor: }, Linea: 15, Columna: 1

Cantidad de lexemas encontrados: 77
